laak,"laak, zoel",moerassige poel of meer
gene,"gantel, gein, gene, genne, keen, keene",oude aanduiding voor een geul met stromend water
keen,"gantel, gein, gene, genne, keen, keene",oude aanduiding voor een geul met stromend water
zwalk,"slonde, zinkval, zwalk","draaikolk, verslinder"
wijert,"waterkuil, wed, wette, wijert","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
scheld,"lieskemeer, scheld, scheldmeer, schildmeer",ondiepe waterplas
sprunk,"soeze, souze, spreng, spring, sprunk",plaats waar een beek ontspringt
zeebocht,"zee-arm, zeebocht, zeeboezem, zee-inham",inham van de zee in het land
vloedkom,,natuurlijke waterberging in tijden van hoogwater
doodijskom,"doodijsgat, doodijskom, doodijskuil",gat ontstaan doordat een aktieve gletsjer zich terugtrekt en brokken ijs achterlaat die een depressie vormen
vlechtrivier,,rivier met een sterk wisselend debiet en vlechtend patroon
doolegger,"doodleger, doodlegger, doolegger, meerstal","natuurlijk gevormde plas in actief, levend hoogveengebied"
getijrivier,"getijdenrivier, getijrivier, tijrivier",rivier of monding van een rivier waarvan de waterhuishouding onder invloed staat van de getijden
waterval,"cascade, val, waterval",water dat trapsgewijs van een hoogte naar beneden stort
uitloop,"sprank, uitloop, uitsprong",uit de grond ontspringend water
spruit,"afsplitsing, aftakking, splitsing, spruit",deel van een rivier dat zijn water uit de hoofdrivier ontvangt
slaak,"slaak, vliet, waterlossing","zelfstromende, gegraven afvoersloot, met name in hoogveengebied"
balg,"balg, drecht, kil, kreek",een inham van de zee met eb- en vloedstroom
wijk,"baai, bocht, golf, inham, schoot, wijk, wijkje",inham van de zee in het land
urk,,geul in zee die de kustlijn volgt
ril,"mui, rel, ril, suatiegeul",watergang op of nabij het strand of op een kwelder waardoor water wegstroomt bij eb
pot,"ketel, kom, pot, trog",min of meer ronde inzinking in de bodem die met water is gevuld
eng,"eng, enge, engte","plaatselijke versmalling van het vaarwater of een doorgang naar groot vaarwater, een meer o.i.d."
zoel,"laak, zoel",moerassige poel of meer
zwin,"brandingstrog, kuststrange, stranke, zwin",diepere deel van de zee tussen twee strandbanken
ader,"ader, sprang, sprank, spreng, sprengebeek, waterader",ondergrondse waterstroom
most,"most, plas, plomp, poel",ondiep stilstaand water
kreek,"balg, drecht, kil, kreek",een inham van de zee met eb- en vloedstroom
water,,"algemene benaming voor beek, kanaal, rivier"
spriel,"priel, spriel, zwin",smalle (bevaarbare) geul op het wad
stomp,"pel, pelt, pollert, stomp,","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
strang,"ank, hank, strang",buitendijks gelegen plas of doodlopende rivierarm
zeegat,,"toegang tot de open zee, gevormd door de monding van een zeearm, binnenzee of rivier of een doorgang tussen kusteilanden of kusten"
slochter,"slochter, slop",geul in vast ijsdek
zeestraat,"pas, passage, straat, zee-engte, zeestraat",smalle doorgang tussen twee zeeën
hollestelle,"hollestelle, ringdobbe",komvormige poel in schor met zoet regenwater voor het drenken van vee
waterloop,,algemene benaming voor een lijnvormig watervoerend object
zee-inham,"zee-arm, zeebocht, zeeboezem, zee-inham",inham van de zee in het land
veenrivier,,in een laagveengebied ontstaan traagstromend riviertje
drinkkolk,"dobbe, drenk, drenkplaats, drinkkolk, drinkkuil","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
kustmeer,"etang, haf, kustmeer, lagoen, lagune, strandmeer, zoutmeer",door een schoorwal geheel of gedeeltelijk afgesloten deel van de zee
winddrift,"afdrijving, drift, driftstroom, winddrift, wraak",een stroom die veroorzaakt wordt door wind dat het water meesleept
kemmel,"han, kemmel, kromte, meander, rivierbocht",bocht of kromming in een rivier of andere waterloop
cascade,"cascade, val, waterval",water dat trapsgewijs van een hoogte naar beneden stort
wieling,"ras, wieling",draaikolk in estuarium
inwater,"binnenwater, inwater",niet in zee uitmondende stroom
sprank,"ader, sprang, sprank, spreng, sprengebeek, waterader",ondergrondse waterstroom
drecht,"balg, drecht, kil, kreek",een inham van de zee met eb- en vloedstroom
worm,"waver, weiver, worm",waaierend (wuivend) kronkelend stroompje
feith,"fait, fehting, feit, feith","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
wadi,,"rivierbedding of waterberging in een droog gebied, die alleen na regenval volstroomt"
zwin,"zwem, zwern, zwin",waterplas op het strand bij laag tij
lek,"leek, lek",ontsloten (vaar)water
zijp,"sieb, siepsloot, sijpe, ziep, zijp, zijpe",kleine waterloop voor afstromend water
slat,"del, kolk, rei, slat",ondiep stilstaand water
gooi,"gooi, maar, tjariet, zwamp","klein, smal en veelal stilstaand natuurwater"
engte,"eng, enge, engte","plaatselijke versmalling van het vaarwater of een doorgang naar groot vaarwater, een meer o.i.d."
genne,"gantel, gein, gene, genne, keen, keene",oude aanduiding voor een geul met stromend water
bocht,"baai, bocht, golf, inham, schoot, wijk, wijkje",inham van de zee in het land
gewas,,gevaarlijke plaats in een water met sterke stroming
ebgeul,"ebgeul, ebschaar",geul die er voor zorgt dat bij eb het water weer terug uit het binnenland stroomt
meander,"han, kemmel, kromte, meander, rivierbocht",bocht of kromming in een rivier of andere waterloop
gaasbeek,,beek met een sterk wisselend debiet en vlechtend patroon
dode arm,,doodlopende zijtak van een rivier
gewade,"gewade, gewas, ongemak, rak",ondiep voor schepen gevaarlijk water
zijtak,"zijarm, zijrivier, zijtak",deel van een rivier dat zijn water uit de hoofdrivier ontvangt
ondiep,"laagte, ondiep",ondiep stilstaand water
ebschaar,"ebgeul, ebschaar",geul die er voor zorgt dat bij eb het water weer terug uit het binnenland stroomt
staalbron,,bron met water dat veel ijzerzouten bevat
stroomgeul,"dalweg, geul, stroomgeul","verdieping van een vaarwater, ontstaan door de stroming van het water"
doodlegger,"doodleger, doodlegger, doolegger, meerstal","natuurlijk gevormde plas in actief, levend hoogveengebied"
rivierloop,,de weg die de rivier in stroomafwaartse richting volgt
brongebied,"bron, brongebied",gebied van herkomst van een rivier
binnenwater,,al het water binnen de kustlijn van een land
benedenrivier,"benedenrivier, benedenstroom",gedeelte van de rivier waar de invloed van ed en vloed merkbaar is
doorbraakgeul,"crevasse, doorbraakgeul, overloopgeul",doorbraak bij hoogwater door de oeverwal van een rivier
uitwaaiingslaagte,,"ondiepe, langgerekte of vormeloze plassen ontstaan door verstuiving van dekzand in de ijstijd"
afwateringspatroon,,netwerk van watergangen dat zorgt voor de oppervlakte-afstroming van een gebied
slingerstroompje,"kronkelbeek, slingerstroompje",bochtige beek of stroom
amfidroompunt,,"knoop- of draaipunt in getijdelijnen, punt zonder eb en vloed"
sprengebeek,"ader, sprang, sprank, spreng, sprengebeek, waterader",ondergrondse waterstroom
