rak,"gewade, gewas, ongemak, rak",ondiep voor schepen gevaarlijk water
keel,,stukje van een wetering
sleup,"slak, sleup, slisse, vliet, voots",gegraven afvoergoot of waterlozing
schoer,,smalle sloot
quicborne,"conduit, fontein, giesser, girande, quicborne","natuurlijke of kunstmatige installatie die water spuit, afhankelijk van de druk door de toevoer van de vloeistof"
waterlossing,"slaak, vliet, waterlossing",met water gevulde uitholling in de grond
voorwetering,,gegraven watergang die het die het voorste deel van een polder doorsnijdt
heiningssloot,"halmer, halmoer, heiningssloot, heinsloot",gegraven kanaal om een stad
spaarbekken,"spaarbekken, spaarkom, waterspaarbekken","natuurlijke of gegraven poel zonder aan- of afvoer, gebruikt voor drink- of bluswater of drinkplaats voor het vee"
springbron,"springader, springbron, sprong",een sloot die de grens vormt tussen twee gebieden
meetsloot,,sloot in een aanslibbende oever gegraven om slib uit het vloedwater te vangen
afdrijving,"afdrijving, drift, driftstroom, winddrift, wraak",smalle sloot in de polder die vaak de grens aangeeft tussen twee boerderijen
ingang,"ingang, invaart",water tussen een watermolen en boezemwater
singel,"singel, singelgracht, stadsvest","doorvaart die toegang geeft tot een min of meer afgesloten gebied, zoals een haven, een sluis, een meer"
voots,"slak, sleup, slisse, vliet, voots",gegraven afvoergoot of waterlozing
sigat,"holte, kolk, sigat, zinkgat","zelfstromende, gegraven afvoersloot, met name in hoogveengebied"
keer,,een stroom die veroorzaakt wordt door wind dat het water meesleept
pet,"pet, petgat, trekgat, weer",meertje dat is ontstaan door het systematisch wegnemen van het voormalige veendek
riet,"afwateringssloot, rei, riet",sloot waarlangs water afgevoerd wordt
keel,"keel, pijp, vangpijp",smalle sloot in een eendekooi
wolf,"wervel, waterwervel, wiel, wieling, wolf, zwervelinge",wervel met snelle draaiing van water
sprink,,waterader onder de grond als bron aangetapt
groeve,"graaf, gracht, graft, greppel, groeve, rei, rui",gegraven kanaal
boezem,"boezem, maalboezem","meer, kanaal of rivier waar overtollig polderwater op wordt geloosd"
brunnen,"born, borne, bron, bronwel, brunnen",plaats waar water uit de grond komt
aardgeul,"aardgeul, geul, rijt, zuin","lange sleuf in akkers en weilanden, gebruikt om overtollig water af te voeren naar de sloot"
waterval,"cascade, val, waterval",water dat trapsgewijs van een hoogte naar beneden stort
doorvaart,,benaming van een bepaalde vaarroute
brandsloot,"brandsloot, opvaart, schipsloot, schipvaart",kanaal dat haaks op een ander kanaal staat
buitenwater,,het water waar het polderwater op geloosd wordt
stroombult,,"ondiepte een eindje voor de sluis, aan de zijde met de lage waterstand, ontstaan door het uit de sluis stromende water"
zandvaart,,gegraven watergang die diende als transportkanaal voor de zandafvoer
tichelgat,"kleigat, kleiput, leemdobbe, leemkuil, leemput, tegelslag, tichelgat, uitdelving",kleine put waaruit klei of leem gewonnen wordt
kopsloot,,sloot in een polder die dwars op de dijk of kade is gesitueerd
viskenij,"visdijk, viskenij, visput, visvijver",aangelegde plas water waarin vissen gehouden en gekweekt worden
zijsloot,,sloot die toevoert aan een grotere sloot
groep,"groef, groep, ril, voor, vore",gegraven lange en smalle afvoer voor water
gewas,"gewas, ondiep,voorde, wade",doorwaadbare plaats in een rivier of waterloop
engte,"eng, enge, engte","plaatselijke versmalling van het vaarwater of een doorgang naar groot vaarwater, een meer o.i.d."
drait,"dracht, drait, drecht, drift",vrij stromend stuk water van redelijke omvang
